,Name,Nationality,National_Position,National_Kit,Club,Club_Position,Club_Kit,Club_Joining,Contract_Expiry,Rating,Height,Weight,Preffered_Foot,Birth_Date,Age,Preffered_Position,Work_Rate,Weak_foot,Skill_Moves,Ball_Control,Dribbling,Marking,Sliding_Tackle,Standing_Tackle,Aggression,Reactions,Attacking_Position,Interceptions,Vision,Composure,Crossing,Short_Pass,Long_Pass,Acceleration,Speed,Stamina,Strength,Balance,Agility,Jumping,Heading,Shot_Power,Finishing,Long_Shots,Curve,Freekick_Accuracy,Penalties,Volleys,GK_Positioning,GK_Diving,GK_Kicking,GK_Handling,GK_Reflexes
10,André Gomes,Portugal,CM,15.0,Barcelona,Sub,21.0,7/21/2016,2021.0,83,188 cm,84 kg,Right,7/30/1993,23,CM/CAM,Medium / Medium,4,3,83,84,65,64,77,81,82,77,76,83,78,61,85,84,72,66,77,85,64,68,58,69,80,68,73,82,68,55,63,14,12,6,9,8
11,Marc-André ter Stegen,Germany,Sub,22.0,Barcelona,GK,1.0,7/1/2014,2019.0,83,187 cm,85 kg,Right,4/30/1992,24,GK,Medium / Medium,4,1,18,17,10,10,13,43,80,11,22,57,66,15,30,38,38,50,35,79,43,37,82,11,22,13,10,18,12,25,14,78,84,83,81,85
12,Samuel Umtiti,France,LCB,22.0,Barcelona,CB,23.0,7/12/2016,2021.0,82,181 cm,75 kg,Left,11/14/1993,23,CB,High / High,3,2,73,69,80,83,85,79,75,58,86,56,66,69,78,71,74,75,80,76,66,68,87,72,83,51,74,72,63,61,70,12,15,14,10,15
13,Jasper Cillessen,Netherlands,Sub,23.0,Barcelona,Sub,13.0,8/25/2016,2021.0,81,185 cm,83 kg,Right,4/22/1989,27,GK,Medium / Medium,3,1,32,12,18,11,12,25,78,11,25,60,70,17,47,33,54,50,40,67,50,48,71,12,35,10,15,10,10,21,19,81,79,74,83,77
14,Jérémy Mathieu,France,,,Barcelona,Sub,24.0,7/23/2014,2018.0,81,189 cm,84 kg,Left,10/29/1983,33,CB/LB,High / Medium,2,2,64,44,82,75,85,81,76,48,84,42,70,79,66,76,67,75,64,90,39,51,67,83,79,51,74,80,71,60,68,9,13,10,14,5
15,Denis Suárez,Spain,,,Barcelona,Sub,6.0,7/4/2016,2020.0,80,181 cm,72 kg,Right,1/6/1994,23,CM/RM,Medium / Medium,3,3,85,84,40,42,59,47,82,77,62,81,65,77,84,79,82,80,74,55,76,83,58,44,76,75,74,82,72,63,68,7,10,10,14,7
16,Rafinha,Brazil,,,Barcelona,RM,12.0,7/3/2014,2020.0,80,174 cm,71 kg,Left,2/12/1993,24,CM/RW,Medium / Medium,4,4,84,87,47,66,74,44,76,77,68,80,76,72,86,74,76,74,74,66,81,81,73,55,79,74,82,75,61,67,76,13,11,15,6,7
17,Sergi Roberto,Spain,,,Barcelona,Sub,20.0,11/10/2010,2019.0,80,178 cm,71 kg,Right,2/7/1992,25,RB/CM,Medium / Medium,3,3,80,74,78,79,80,64,76,69,79,80,67,81,85,77,78,79,79,75,74,69,54,61,65,64,66,70,61,57,46,15,14,11,16,10
18,Lucas Digne,France,,,Barcelona,Sub,19.0,7/13/2016,2021.0,79,178 cm,74 kg,Left,7/20/1993,23,LB,High / Medium,3,3,79,73,74,81,77,75,76,67,77,72,71,78,80,69,81,82,81,72,80,70,75,64,77,52,69,68,57,58,45,6,6,9,12,13
19,Paco Alcácer,Spain,,,Barcelona,Sub,17.0,8/30/2016,2021.0,79,176 cm,71 kg,Right,8/30/1993,23,ST,High / Medium,4,3,79,72,26,26,21,59,86,87,26,63,66,53,72,51,74,73,66,63,78,76,75,77,80,81,68,66,59,71,82,8,12,14,14,5
20,Aleix Vidal,Spain,,,Barcelona,Sub,22.0,7/1/2015,2020.0,76,178 cm,69 kg,Right,8/21/1989,27,RB/RM,High / Medium,4,3,82,81,68,73,69,80,78,66,73,70,71,75,78,64,89,93,66,68,77,78,82,58,84,67,59,69,46,51,48,12,8,8,7,12
21,Marlon Santos,Brazil,,,Barcelona,Sub,33.0,11/1/2012,2020.0,73,185 cm,81 kg,Right,9/7/1995,21,CB,Medium / Medium,3,2,69,63,71,74,72,73,64,36,76,43,66,43,67,68,55,63,67,80,59,54,64,70,61,40,36,57,46,58,33,13,8,16,15,12
22,Borja López,Spain,,,Barcelona,Res,35.0,1/27/2016,2018.0,71,192 cm,84 kg,Left,2/2/1994,23,CB,Medium / Medium,3,2,58,33,67,71,79,72,59,47,69,44,57,34,66,56,48,39,61,87,44,38,60,66,46,22,31,32,25,45,28,14,15,12,15,11
23,Gerard,Spain,,,Barcelona,Res,36.0,7/1/2014,2017.0,70,188 cm,77 kg,Left,12/1/1994,22,CM/CB,Medium / Medium,3,3,77,56,58,50,75,60,58,48,70,67,46,48,81,76,46,33,61,73,48,58,52,68,70,48,72,64,62,50,46,12,10,14,14,9
24,Jordi Masip,Spain,,,Barcelona,Sub,25.0,7/3/2014,2017.0,70,179 cm,72 kg,Right,1/3/1989,28,GK,Medium / Medium,2,1,19,13,14,12,13,15,68,11,13,55,21,14,34,27,55,65,41,45,63,70,79,13,25,12,13,13,10,12,19,64,68,67,68,75
25,Aleñà,Spain,,,Barcelona,Res,28.0,7/1/2015,2017.0,69,180 cm,70 kg,Left,1/5/1998,19,CM/CDM,High / Medium,3,3,78,77,43,45,56,48,55,54,49,65,36,63,82,71,58,57,62,40,68,65,48,34,35,52,65,71,57,53,41,8,12,10,9,12
26,Nili Perdomo,Spain,,,Barcelona,Res,31.0,7/1/2016,2017.0,69,178 cm,65 kg,Right,2/18/1994,23,RB/RM,High / Medium,3,3,71,72,64,68,62,59,68,67,69,49,44,70,68,57,74,79,64,61,72,78,59,57,42,46,30,39,37,51,29,7,11,11,8,9
27,Wilfrid Kaptoum,Cameroon,,,Barcelona,Res,27.0,10/29/2015,2018.0,68,170 cm,72 kg,Right,7/7/1996,20,CM/CDM,Medium / Medium,3,2,79,64,45,61,63,54,52,55,54,62,61,56,79,70,66,58,61,59,86,89,67,43,73,60,68,57,39,50,40,13,11,15,13,15
28,Sergi Palencia,Spain,,,Barcelona,Res,34.0,7/1/2015,2018.0,66,172 cm,66 kg,Right,3/23/1996,21,RB/LB,Medium / Medium,3,2,51,65,59,68,67,77,59,53,62,41,39,59,65,50,74,75,77,55,65,54,58,55,37,33,36,40,44,45,34,11,9,6,14,11
29,José Suarez,Spain,,,Barcelona,Res,26.0,7/1/2014,2017.0,66,186 cm,80 kg,Right,12/18/1995,21,GK,Medium / Medium,3,1,25,13,16,18,15,20,56,11,17,32,27,20,23,26,48,46,42,65,54,49,53,18,21,19,20,17,14,29,21,65,67,70,63,67
30,Marc Cardona,Spain,,,Barcelona,Res,39.0,7/1/2016,2018.0,65,181 cm,67 kg,Right,7/8/1995,21,ST,Medium / Medium,3,3,64,57,14,12,17,27,60,66,24,57,51,32,57,50,76,71,55,56,57,61,62,63,71,66,64,61,52,56,55,6,8,11,13,8
31,Carbonell,Spain,,,Barcelona,Res,30.0,7/1/2016,2018.0,64,175 cm,70 kg,Right,9/15/1997,19,CF/RW,Medium / Medium,3,3,70,71,31,35,48,25,63,60,41,53,41,64,67,52,67,64,48,37,81,71,44,54,44,68,62,61,47,52,55,12,5,12,5,14
32,Santiago Bueno,Uruguay,,,Barcelona,Res,29.0,1/31/2017,2020.0,63,189 cm,78 kg,Right,11/1/1998,18,CB/CDM,Medium / Medium,3,2,52,15,59,65,70,58,51,22,65,26,48,23,53,27,55,59,65,62,52,49,68,65,49,16,28,18,38,42,22,13,5,9,8,10
