,Name,Nationality,National_Position,National_Kit,Club,Club_Position,Club_Kit,Club_Joining,Contract_Expiry,Rating,Height,Weight,Preffered_Foot,Birth_Date,Age,Preffered_Position,Work_Rate,Weak_foot,Skill_Moves,Ball_Control,Dribbling,Marking,Sliding_Tackle,Standing_Tackle,Aggression,Reactions,Attacking_Position,Interceptions,Vision,Composure,Crossing,Short_Pass,Long_Pass,Acceleration,Speed,Stamina,Strength,Balance,Agility,Jumping,Heading,Shot_Power,Finishing,Long_Shots,Curve,Freekick_Accuracy,Penalties,Volleys,GK_Positioning,GK_Diving,GK_Kicking,GK_Handling,GK_Reflexes
10,Edgar Méndez,Spain,,,Alaves,RM,17.0,7/18/2016,2019.0,75,188 cm,76 kg,Right,4/30/1991,25,RM/LM,High / Medium,2,3,74,75,32,34,45,74,64,72,42,70,61,76,70,66,85,86,72,81,66,75,68,64,75,72,66,72,33,68,74,6,13,11,16,14
11,Manu García,Spain,,,Alaves,LDM,19.0,7/1/2012,2018.0,75,182 cm,74 kg,Left,4/26/1986,30,CDM/LB,Medium / High,3,2,67,59,62,72,78,91,74,58,79,58,72,65,75,69,54,64,83,76,63,64,78,67,74,60,46,52,54,71,42,7,8,9,14,11
12,Theo Hernández,France,,,Alaves,LB,15.0,7/1/2015,2021.0,74,185 cm,75 kg,Left,10/6/1997,19,LB/LM,Medium / Medium,3,2,72,78,70,78,74,75,64,50,69,45,52,72,70,52,84,85,77,76,61,75,62,65,38,30,25,35,25,39,27,7,12,7,10,7
13,Aleksandar Katai,Serbia,,,Alaves,Sub,25.0,8/31/2016,2018.0,74,179 cm,70 kg,Right,2/6/1991,26,RM/CAM,Medium / Low,4,3,77,81,24,36,42,51,72,74,35,73,82,71,74,70,67,60,65,66,71,65,64,61,73,77,72,81,68,72,65,12,8,16,10,7
14,Raul García,Spain,,,Alaves,Sub,3.0,7/14/2014,2017.0,74,175 cm,72 kg,Left,11/30/1989,27,LB,High / Medium,3,2,70,62,72,74,73,74,68,62,72,65,64,76,72,68,75,76,87,71,82,78,77,61,72,58,64,75,73,64,54,15,13,11,6,9
15,Kiko Femenía,Spain,,,Alaves,RB,21.0,7/2/2015,2017.0,74,174 cm,61 kg,Right,2/2/1991,26,RB/RM,High / Medium,3,3,78,79,63,77,75,70,64,68,71,66,58,74,73,54,78,81,82,67,86,85,69,52,56,66,65,65,55,60,54,15,16,7,15,11
16,Christian Santos,Venezuela,Sub,19.0,Alaves,Sub,9.0,7/12/2016,2019.0,73,184 cm,70 kg,Left,3/24/1988,29,ST/CAM,Medium / Medium,3,2,72,67,37,33,37,58,71,78,22,65,75,68,69,67,59,64,71,65,57,68,74,70,69,77,75,79,71,80,81,14,7,12,10,7
17,Nenad Krstičić,Serbia,,,Alaves,Sub,23.0,7/25/2016,2018.0,72,182 cm,75 kg,Left,9/3/1990,26,CM/CAM,Medium / Medium,4,3,73,68,48,67,75,81,73,66,67,70,61,60,76,73,67,71,63,72,56,73,57,54,74,56,68,58,53,55,56,9,14,6,15,12
18,Toquero,Spain,,,Alaves,Sub,18.0,7/15/2015,2017.0,72,182 cm,78 kg,Right,8/9/1984,32,ST/LM,Medium / High,3,2,62,65,46,47,56,87,81,81,57,66,71,70,58,57,69,70,75,81,64,42,86,77,76,63,55,62,52,66,70,12,9,15,7,7
19,Vigaray,Spain,,,Alaves,Sub,22.0,8/13/2016,2019.0,71,182 cm,70 kg,Right,9/7/1994,22,RB/CB,Medium / Medium,3,2,64,71,67,76,73,68,69,63,70,49,55,71,62,41,74,69,75,67,64,68,62,65,46,53,39,57,45,45,37,9,7,6,13,15
20,Rodrigo Ely,Brazil,,,Alaves,Sub,2.0,7/1/2015,2019.0,71,192 cm,82 kg,Right,11/3/1993,23,CB,Medium / High,2,2,50,50,76,70,74,66,68,26,74,20,60,24,46,50,63,67,68,78,40,59,70,68,43,15,38,16,18,35,12,9,13,9,10,11
21,Rubén Sobrino,Spain,,,Alaves,Sub,7.0,8/28/2015,2019.0,70,185 cm,73 kg,Right,6/1/1992,24,ST/LM,Medium / Medium,3,3,80,81,19,17,31,53,69,73,22,54,61,55,64,47,79,81,65,63,62,74,60,56,58,68,62,71,57,66,59,7,13,11,8,15
22,Adrián Ortolá,Spain,,,Alaves,Sub,13.0,7/11/2013,2017.0,69,182 cm,71 kg,Left,8/20/1993,23,GK,Medium / Medium,3,1,43,38,13,16,13,20,62,12,19,38,29,19,39,42,49,52,43,54,62,54,71,16,31,14,17,20,12,29,10,68,73,72,66,67
23,Sergio Llamas,Spain,,,Alaves,Res,12.0,7/1/2012,2017.0,64,178 cm,65 kg,Right,3/6/1993,24,CM/LM,Medium / Medium,3,2,63,55,35,47,59,51,54,62,52,64,50,62,71,70,56,53,62,56,80,69,36,41,46,42,60,63,59,52,40,8,13,14,12,14
24,Aritz Castro,Spain,,,Alaves,Res,31.0,7/1/2015,2017.0,63,179 cm,77 kg,Right,5/20/1998,18,GK,Medium / Medium,3,1,20,14,11,12,14,20,50,11,10,51,27,12,17,18,30,22,25,44,45,38,57,14,20,10,12,15,14,16,11,68,59,62,60,65
25,Einar Galilea,Spain,,,Alaves,Res,27.0,7/1/2012,2019.0,63,185 cm,77 kg,Left,5/22/1995,21,CB,Medium / Medium,2,2,49,37,59,65,57,76,58,33,60,36,34,34,50,42,56,57,63,71,54,57,73,67,48,24,27,37,36,51,37,15,12,12,7,16
26,Asier Benito,Spain,,,Alaves,Res,29.0,7/1/2013,2017.0,62,180 cm,75 kg,Right,2/11/1995,22,ST,Medium / Medium,3,3,65,63,18,15,22,34,58,59,18,50,47,33,60,34,66,68,61,56,66,57,64,57,60,62,59,43,35,68,51,6,6,8,11,9
27,Erik Ruiz,Spain,,,Alaves,Res,34.0,7/1/2016,2018.0,61,180 cm,75 kg,Left,3/8/1995,22,CB,High / Medium,3,2,51,28,59,66,68,55,57,27,62,27,39,27,60,27,64,64,60,55,65,43,68,53,33,21,18,27,27,32,25,10,10,5,11,12
28,Dani Iglesias,Spain,,,Alaves,Res,28.0,8/11/2015,2019.0,61,181 cm,71 kg,Right,8/18/1995,21,ST,Medium / Medium,3,3,74,69,15,17,22,33,53,59,15,53,31,44,60,35,53,51,59,32,61,61,64,62,48,71,65,58,41,70,64,14,16,10,15,7
