,Name,Nationality,National_Position,National_Kit,Club,Club_Position,Club_Kit,Club_Joining,Contract_Expiry,Rating,Height,Weight,Preffered_Foot,Birth_Date,Age,Preffered_Position,Work_Rate,Weak_foot,Skill_Moves,Ball_Control,Dribbling,Marking,Sliding_Tackle,Standing_Tackle,Aggression,Reactions,Attacking_Position,Interceptions,Vision,Composure,Crossing,Short_Pass,Long_Pass,Acceleration,Speed,Stamina,Strength,Balance,Agility,Jumping,Heading,Shot_Power,Finishing,Long_Shots,Curve,Freekick_Accuracy,Penalties,Volleys,GK_Positioning,GK_Diving,GK_Kicking,GK_Handling,GK_Reflexes
17,Ángel Correa,Argentina,ST,20.0,Ath Madrid,Sub,11.0,12/13/2014,2019.0,79,174 cm,70 kg,Right,3/9/1995,22,ST/RM/RW,Medium / Low,4,4,85,87,46,44,51,41,82,79,45,69,71,64,65,56,86,80,69,59,83,87,54,61,78,81,82,82,65,55,77,8,13,9,10,16
18,Šime Vrsaljko,Croatia,,,Ath Madrid,Sub,16.0,7/5/2016,2021.0,79,182 cm,76 kg,Right,1/10/1992,25,RB,High / Medium,3,2,75,72,77,75,78,70,77,65,79,68,67,82,74,68,82,83,88,73,72,67,84,69,75,44,58,70,57,52,53,10,15,10,11,12
19,Lucas Hernández,France,,,Ath Madrid,Sub,19.0,8/18/2013,2020.0,76,183 cm,75 kg,Left,2/14/1996,21,CB/LB,Medium / High,3,2,65,46,74,81,77,77,65,27,76,33,48,57,67,58,66,65,61,72,61,69,85,75,62,36,47,38,28,34,23,14,10,8,7,10
20,Thomas Partey,Ghana,,,Ath Madrid,Sub,22.0,7/1/2012,2022.0,76,185 cm,73 kg,Right,6/13/1993,23,CDM/RM,High / High,3,2,73,65,65,76,81,74,74,60,75,69,49,43,77,73,66,72,84,84,55,64,82,66,76,54,63,59,41,46,53,9,11,9,13,7
21,Alessio Cerci,Italy,,,Ath Madrid,Sub,17.0,8/23/2015,2017.0,75,180 cm,78 kg,Left,7/23/1987,29,RM/ST,Medium / Low,3,4,80,79,24,24,31,62,65,71,41,68,75,77,75,67,82,84,44,76,77,73,66,59,72,68,77,79,74,76,71,12,9,7,14,9
22,André Moreira,Portugal,,,Ath Madrid,Res,25.0,8/14/2014,2018.0,70,195 cm,85 kg,Right,12/2/1995,21,GK,Medium / Medium,2,1,17,12,12,21,17,27,64,13,19,49,31,14,24,25,47,49,42,73,45,35,51,12,22,15,17,17,15,24,12,65,65,68,76,73
23,Caio Henrique,Brazil,,,Ath Madrid,Sub,28.0,2/2/2016,2022.0,66,177 cm,70 kg,Left,7/31/1997,19,CAM,Medium / Medium,2,3,69,64,31,40,44,39,60,56,29,71,66,47,72,70,67,56,34,31,73,68,55,44,55,52,60,73,71,48,43,6,11,9,15,8
24,Bernabé,Spain,,,Ath Madrid,Res,30.0,7/1/2013,2017.0,65,189 cm,76 kg,Right,2/18/1993,24,GK,Medium / Medium,3,1,20,14,19,20,14,21,59,13,20,23,22,12,23,22,45,46,45,60,52,30,63,18,18,19,14,16,19,23,17,63,62,54,69,65
25,Keidi Bare,Albania,,,Ath Madrid,Res,44.0,7/1/2016,2018.0,62,174 cm,72 kg,Right,8/28/1997,19,CAM/CM,Medium / Medium,3,3,54,57,52,49,47,59,60,64,52,62,42,37,70,66,69,70,58,51,74,63,60,50,50,54,52,39,40,39,32,11,13,11,12,13
26,Nicolás Schiappacasse,Uruguay,,,Ath Madrid,Res,29.0,7/1/2016,2021.0,62,180 cm,73 kg,Right,1/12/1999,18,LW/RW,Medium / Medium,3,3,63,68,17,23,25,30,53,59,21,56,49,53,54,35,64,72,42,53,65,62,41,50,62,67,69,43,45,51,41,6,13,11,12,14
27,Juan Moreno,Spain,,,Ath Madrid,Res,39.0,7/1/2016,2017.0,62,175 cm,70 kg,Right,5/11/1997,19,RM,Medium / Medium,3,3,62,68,31,42,43,46,55,54,43,56,49,67,66,59,62,68,41,36,79,72,56,47,46,51,53,53,55,50,37,15,5,11,12,9
28,Borja González,Spain,,,Ath Madrid,Res,27.0,1/31/2015,2017.0,62,178 cm,70 kg,Right,11/17/1995,21,RB,High / Medium,3,3,56,48,68,58,55,53,62,42,58,38,44,68,50,42,58,70,68,57,65,58,55,64,68,43,42,75,76,38,43,12,13,13,12,12
29,Roberto Núñez,Spain,,,Ath Madrid,Res,33.0,8/1/2015,2017.0,61,182 cm,77 kg,Right,1/3/1996,21,ST,Medium / Medium,3,3,65,50,19,29,26,36,58,55,21,61,53,31,57,38,63,59,54,48,73,75,68,59,66,68,65,42,44,56,55,6,10,12,8,6
30,Álex García,Spain,,,Ath Madrid,Res,34.0,8/1/2016,2017.0,61,180 cm,75 kg,Right,1/1/1994,23,CB,Medium / Low,3,2,42,35,64,66,71,50,51,30,59,33,46,29,49,30,64,62,58,55,65,46,68,58,48,22,25,37,35,39,28,7,9,12,7,11
