,Name,Nationality,National_Position,National_Kit,Club,Club_Position,Club_Kit,Club_Joining,Contract_Expiry,Rating,Height,Weight,Preffered_Foot,Birth_Date,Age,Preffered_Position,Work_Rate,Weak_foot,Skill_Moves,Ball_Control,Dribbling,Marking,Sliding_Tackle,Standing_Tackle,Aggression,Reactions,Attacking_Position,Interceptions,Vision,Composure,Crossing,Short_Pass,Long_Pass,Acceleration,Speed,Stamina,Strength,Balance,Agility,Jumping,Heading,Shot_Power,Finishing,Long_Shots,Curve,Freekick_Accuracy,Penalties,Volleys,GK_Positioning,GK_Diving,GK_Kicking,GK_Handling,GK_Reflexes
13,David Juncà,Spain,,,Eibar,Sub,23.0,7/28/2015,2018.0,75,175 cm,67 kg,Left,11/16/1993,23,LB,High / Medium,3,2,71,64,71,76,69,75,67,55,74,48,51,77,66,61,85,81,86,66,79,77,74,54,61,35,46,69,58,55,43,8,10,16,9,9
14,Luna,Spain,,,Eibar,LB,19.0,7/9/2015,2017.0,75,178 cm,68 kg,Left,3/17/1991,26,LB/LM,High / Medium,3,2,75,68,67,80,77,82,67,61,68,50,66,73,75,63,73,75,83,75,69,67,80,59,78,59,55,58,45,43,56,15,6,5,12,8
15,Riesgo,Spain,,,Eibar,Sub,13.0,8/21/2015,2018.0,75,185 cm,76 kg,Right,10/6/1983,33,GK,Medium / Medium,3,1,15,12,13,12,12,34,63,12,22,33,61,25,32,33,54,55,41,68,58,51,60,14,23,13,22,25,15,13,14,77,78,64,78,72
16,Rubén Peña,Spain,,,Eibar,Sub,11.0,7/1/2016,2019.0,74,170 cm,65 kg,Right,7/18/1991,25,ST/LM/RB,Medium / Medium,3,3,73,74,49,67,58,61,76,78,63,66,71,69,71,58,84,87,67,63,85,83,73,57,71,76,64,52,55,64,65,16,7,10,11,10
17,Yoel,Spain,,,Eibar,GK,1.0,7/1/2015,2018.0,74,185 cm,78 kg,Right,8/28/1988,28,GK,Medium / Medium,3,1,14,13,10,11,15,35,68,13,19,45,48,24,31,35,35,43,34,70,47,40,62,10,23,14,21,25,15,25,23,71,73,75,74,76
18,Arbilla,Spain,,,Eibar,Sub,18.0,8/30/2016,2018.0,73,177 cm,75 kg,Right,5/15/1987,29,RB,Medium / High,4,2,72,63,72,72,76,84,70,57,72,57,64,74,73,59,60,72,75,77,67,59,79,70,81,40,68,63,70,47,48,13,14,15,8,9
19,Kike,Spain,,,Eibar,Sub,17.0,2/3/2016,2019.0,73,186 cm,79 kg,Right,11/25/1989,27,ST,Medium / Medium,4,2,75,71,15,17,26,71,61,74,34,62,60,51,66,45,65,73,67,78,55,64,73,76,77,74,62,42,46,70,75,13,7,8,9,13
20,Nano,Spain,,,Eibar,Sub,22.0,8/29/2016,2021.0,72,178 cm,79 kg,Right,2/5/1995,22,ST/LM,High / High,3,3,72,65,21,20,23,38,74,81,21,61,63,54,65,39,87,78,69,66,76,74,69,57,68,76,61,72,42,69,67,7,15,14,11,9
21,Christian Rivera,Spain,,,Eibar,Sub,6.0,7/2/2016,2019.0,69,190 cm,80 kg,Right,7/9/1997,19,CDM/CM,Medium / Medium,3,3,73,63,60,62,70,62,63,57,64,70,66,59,75,63,56,58,76,69,61,59,61,57,62,41,43,58,40,43,47,10,15,6,12,9
22,Markel Areitio,Spain,,,Eibar,Res,30.0,7/1/2016,2017.0,65,180 cm,69 kg,Right,9/7/1996,20,GK,Medium / Medium,3,1,11,16,13,11,10,18,54,13,16,50,15,18,15,19,44,43,34,55,48,50,62,11,11,18,16,11,15,16,13,65,64,62,65,67
23,Etxaburu,Spain,,,Eibar,Sub,27.0,8/1/2015,2017.0,64,182 cm,71 kg,Left,4/7/1994,22,CAM/CM,High / Medium,3,3,68,66,35,42,48,53,55,64,49,62,47,38,63,65,66,61,60,50,63,55,57,45,70,57,67,52,57,55,34,10,6,8,7,6
24,Sarriegi,Spain,,,Eibar,Res,32.0,8/1/2016,2017.0,63,182 cm,70 kg,Right,4/27/1995,21,CM,Medium / Medium,3,2,70,58,52,57,59,50,61,49,52,67,62,48,67,60,64,60,68,61,65,56,63,42,56,44,51,45,43,57,33,6,6,14,11,9
25,Josué Dorrio,Spain,,,Eibar,Res,29.0,7/1/2016,2017.0,63,172 cm,68 kg,Right,3/3/1994,23,LW/RW,Medium / Medium,3,3,61,66,28,33,34,48,53,56,33,57,55,66,63,42,82,77,61,58,80,72,56,38,62,59,49,44,34,45,50,8,13,14,7,6
26,Amorrortu,Spain,,,Eibar,Res,33.0,7/1/2016,2018.0,63,170 cm,64 kg,Right,10/17/1995,21,ST/RW,High / Medium,3,4,65,64,15,15,12,33,60,59,40,55,61,56,61,48,75,72,60,55,64,65,60,58,61,66,58,41,26,54,51,9,5,13,6,15
27,Julen López,Spain,,,Eibar,Res,34.0,7/1/2015,2017.0,63,190 cm,84 kg,Left,7/20/1995,21,CB,Medium / Medium,3,2,55,30,61,62,66,69,59,22,64,34,37,20,53,41,55,61,68,67,65,43,70,55,35,15,17,30,29,31,29,15,9,14,14,8
28,Cristian,Spain,,,Eibar,Res,28.0,8/2/2016,2017.0,62,191 cm,73 kg,Right,5/18/1995,21,CB/CDM,Low / High,3,2,55,38,56,57,65,68,43,23,54,30,19,28,57,50,34,50,64,82,45,44,61,65,53,18,24,33,26,38,32,12,15,15,8,8
29,Quique Cebriá,Spain,,,Eibar,Res,31.0,7/11/2016,2017.0,60,182 cm,70 kg,Right,4/1/1995,21,GK,Medium / Medium,2,1,18,9,9,10,10,21,37,5,6,35,38,11,24,27,21,29,19,46,44,36,62,13,18,7,5,11,10,19,6,58,63,56,62,63
30,Corral,Spain,,,Eibar,Res,26.0,7/1/2015,2017.0,60,180 cm,70 kg,Left,3/19/1994,23,LB/CB,Medium / Medium,3,2,54,43,55,63,58,63,52,44,59,50,48,59,44,41,69,75,70,64,69,64,59,37,26,24,22,25,26,35,27,8,13,11,8,8
